repo_full,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",4,observed,none,100,0.115,100,0.0575,100,0.0526315789473684,100,0.23,100,1.2608695652173914,23,0.046,100,1.23,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",8,observed,none,100,0.1766666666666666,100,0.0475,100,0.0666666666666666,100,0.34,100,1.7058823529411764,34,0.0422222222222222,100,1.38,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",1,low_volume,none,100,0.24,100,0.48,100,0.04545454545454539,100,0.48,100,0.0,48,0.24,100,1.48,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",1,observed,controlled,100,0.105,100,0.39622641509433965,53,0.0507127624697284,100,0.21,100,0.0,21,0.105,100,1.21,100,0.42500000000000004,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",1,observed,none,100,0.135,100,0.27,100,0.04545454545454539,100,0.27,100,0.0,27,0.135,100,1.27,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",2,low_volume,none,100,0.3400000000000001,100,0.4,100,0.04761904761904749,100,0.62,100,0.3709677419354839,62,0.2666666666666665,100,1.8,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",2,observed,controlled,100,0.1616666666666666,100,0.2682926829268293,82,0.0535667789382958,100,0.32,100,0.21875,32,0.1283333333333333,100,1.33,100,0.4308333333333335,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",2,observed,none,100,0.2483333333333333,100,0.265,100,0.04761904761904749,100,0.48,100,0.3125,48,0.17666666666666667,100,1.53,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",4,low_volume,none,100,0.478333333333333,100,0.3225,100,0.0526315789473684,100,0.81,100,1.123456790123457,81,0.2579999999999997,100,2.29,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",4,observed,controlled,100,0.2041666666666667,100,0.2456709956709956,77,0.061140943894426696,100,0.38,100,0.631578947368421,38,0.1271666666666666,100,1.47,100,0.4825000000000004,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",4,observed,none,100,0.3408333333333334,100,0.195,100,0.0526315789473684,100,0.64,100,1.046875,64,0.1559999999999999,100,1.78,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",8,low_volume,none,100,0.5611666666666664,100,0.22,100,0.0666666666666666,100,0.88,100,1.7272727272727273,88,0.1955555555555553,100,2.76,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",8,observed,controlled,100,0.2224999999999999,100,0.2712608987256874,71,0.0707142857142856,100,0.41,100,1.024390243902439,41,0.1272063492063492,100,1.53,100,0.5386111111111114,100
