repo_full,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,merged_pr_count,pr_cycle_hours_median,qualified_review_latency_hours_median,reviewed_pr_n,churn_median,changed_files_median,commits_median,created_pr_count,workflow_count,workflow_concentration_hhi,release_count,split,external_calibration,external_evaluation_eligible,workflow_adjusted_latency_log,latency_log_raw,latency_log,low_outcome_support,low_latency_support,missing_core_metric_count
helm/helm,2025-06-23,69,51,7,0.1372549019607843,51,3.8333333333333335,5.833333333333333,0.05,3.7666666666666666,51,18,0.3529411764705882,18,0,0.0,9,162.33027777777778,30.54805555555556,9,11.0,2.0,1.0,10,3.0,0.3333333333333333,,external,True,False,-0.0396805224043921,1.5755363607584192,-0.0396805224043921,False,False,0
helm/helm,2025-06-30,96,84,14,0.1666666666666666,84,3.858333333333333,5.9783333333333335,0.0666666666666666,3.8,84,12,0.1428571428571428,12,0,0.0,6,42.72444444444445,8.124861111111112,6,27.5,2.5,1.0,8,3.0,0.3333333333333333,,external,True,False,-0.0309026829350424,1.5806954435684464,-0.0309026829350424,False,False,0
helm/helm,2025-07-07,177,149,13,0.087248322147651,149,3.816666666666667,6.0,0.0666666666666666,3.7666666666666666,149,28,0.1879194630872483,28,0,0.0,10,15.586111111111112,15.58375,10,12.0,2.0,1.0,21,3.0,0.3335248491812697,,external,True,False,-0.0237609548877995,1.5720821258903317,-0.0237609548877995,False,False,0
helm/helm,2025-07-14,106,84,13,0.1547619047619047,76,3.9166666666666665,6.058333333333334,0.05,3.8666666666666663,84,22,0.2619047619047619,22,0,0.0,17,76.7725,19.136944444444445,17,48.0,2.0,1.0,12,3.0,0.3364186543253826,,external,True,False,-0.0141856666558403,1.5926307941177191,-0.0141856666558403,False,False,0
helm/helm,2025-07-21,108,87,5,0.057471264367816,87,3.85,6.1033333333333335,0.05,3.816666666666667,87,21,0.2413793103448276,21,0,0.0,7,20.050833333333333,17.56138888888889,7,6.0,2.0,1.0,14,3.0,0.3333333333333333,,external,True,False,-0.0306584700666688,1.5789787049493915,-0.0306584700666688,False,False,0
helm/helm,2025-07-28,48,33,5,0.1515151515151515,33,4.116666666666666,6.023333333333333,0.05,4.066666666666666,33,15,0.4545454545454545,15,0,0.0,2,40.16861111111111,22.924444444444443,2,18.0,2.0,1.0,7,3.0,0.3333333333333333,,external,True,False,-0.0152708714734987,1.6325031853650964,-0.0152708714734987,False,False,0
helm/helm,2025-08-04,186,146,14,0.0958904109589041,146,4.216666666666667,6.1,0.05,4.158333333333333,145,40,0.2758620689655172,41,0,0.0,14,119.32097222222222,16.27652777777778,14,25.0,2.0,1.0,11,3.0,0.3335067637877211,,external,True,False,-0.0036457174616624,1.6518586283180523,-0.0036457174616624,False,False,0
helm/helm,2025-08-11,109,85,5,0.0588235294117647,85,4.15,6.07,0.05,4.116666666666666,84,24,0.2857142857142857,25,0,0.0,10,338.64722222222224,15.092083333333331,10,17.5,2.0,1.0,13,3.0,0.3333894453328844,,external,True,False,0.0027920135865936,1.6389967146756448,0.0027920135865936,False,False,0
helm/helm,2025-08-18,196,178,15,0.0842696629213483,178,3.8333333333333335,6.171666666666667,0.05,3.783333333333333,177,19,0.1073446327683615,19,1,0.0526315789473684,20,112.1434722222222,20.783472222222223,20,48.0,2.0,1.0,21,3.0,0.342930029154519,,external,True,False,-0.0067564329057476,1.5755363607584192,-0.0067564329057476,False,False,0
helm/helm,2025-08-25,204,204,30,0.1470588235294117,204,3.9916666666666663,6.445,0.05,3.933333333333333,204,0,0.0,0,0,,13,114.00527777777778,58.196666666666665,13,33.0,2.0,1.0,24,3.0,0.3356401384083045,,external,True,False,0.0310061845750457,1.6077698553334034,0.0310061845750457,False,False,0
