detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,metric,repositories_observed,cross_repository_mean,cross_repository_minimum,cross_repository_maximum,cross_repository_range,cross_repository_sd,interpretation
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,low_volume,none,strict_incremental_detection_delay_weeks_mean,3,2.2741830065359476,1.4264705882352942,3.5294117647058822,2.102941176470588,1.109117925817276,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,low_volume,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,low_volume,none,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,low_volume,none,pair_unevaluable_fraction_mean,3,0.02210144927536231,0.021739130434782605,0.02282608695652173,0.0010869565217391242,0.0006275546404235026,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,controlled,strict_incremental_episode_detected_proportion,3,0.17,0.06,0.3,0.24,0.12124355652982141,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,controlled,strict_incremental_detection_delay_weeks_mean,3,1.5444444444444443,1.1333333333333333,2.1666666666666665,1.0333333333333332,0.5480605535617121,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,controlled,reference_alarm_burden_mean,3,0.012447800960691561,0.0,0.01926393936845391,0.01926393936845391,0.010796367784139997,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,controlled,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,controlled,pair_unevaluable_fraction_mean,3,0.37231884057971004,0.3658695652173913,0.37565217391304345,0.009782608695652173,0.00558629387600231,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,none,strict_incremental_episode_detected_proportion,3,0.3566666666666667,0.09,0.58,0.49,0.24785748593361737,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,none,strict_incremental_detection_delay_weeks_mean,3,2.309035759897829,1.396551724137931,3.5555555555555554,2.1590038314176243,1.1175908476212952,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,none,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
